,region_name,region_id,week,date,inc,inc_w1,inc_w2,inclow,inclow_w1,inclow_w2,inctop,inctop_w1,inctop_w2,inc100,inc100_w1,inc100_w2,inc100low,inc100low_w1,inc100low_w2,inc100top,inc100top_w1,inc100top_w2,C6H6,C6H6_w1,C6H6_w2,CO,CO_w1,CO_w2,NO,NO_w1,NO_w2,NO2,NO2_w1,NO2_w2,NOXasNO2,NOXasNO2_w1,NOXasNO2_w2,O3,O3_w1,O3_w2,PM10,PM10_w1,PM10_w2,PM2p5,PM2p5_w1,PM2p5_w2,SO2,SO2_w1,SO2_w2,pmer,pmer_w1,pmer_w2,dirv,dirv_w1,dirv_w2,vitv,vitv_w1,vitv_w2,temp,temp_w1,temp_w2,hum,hum_w1,hum_w2,pst,pst_w1,pst_w2,r1,r1_w1,r1_w2,tempc,tempc_w1,tempc_w2
10,Grand Est,11,202103,2021-01-15,7796,4042.0,6675.0,4914,2033.0,3662.0,10678,6051.0,9688.0,138,71.0,118.0,87,35.0,65.0,189,107.0,171.0,0.9911,0.8803,0.974,0.3581,0.4125,0.2806,12.937,11.5594,6.3318,22.2008,19.5308,16.0575,41.586,37.0651,25.8827,32.8055,19.5942,25.5903,15.4283,18.1348,18.3259,11.7526,14.3502,15.7137,1.7715,1.596,1.4312,102181.96,101752.18,101322.63,199.54,160.71,259.5,3.61,2.28,2.38,274.0493,273.9043,273.7863,90.8107,87.675,92.5875,99731.3929,99313.0714,98894.0,0.197,0.007,0.0025,0.8993,0.7543,0.6363
11,Normandie,12,202103,2021-01-15,1577,976.0,1634.0,473,152.0,554.0,2681,1800.0,2714.0,46,29.0,48.0,14,5.0,16.0,78,53.0,80.0,0.755,1.434,2.4978,0.274,0.3585,0.5158,12.2021,20.4032,22.2822,20.1483,25.4585,25.5375,38.8977,56.5629,59.918,45.0994,19.2253,18.1688,16.2719,22.2293,26.7396,13.0846,19.7842,26.0709,1.5517,2.1272,1.7358,102279.64,101943.13,101502.5,235.67,141.52,143.13,5.78,3.25,2.79,279.3438,275.2196,276.0,87.9911,87.3527,90.1563,101123.9732,100773.7054,100341.25,0.0854,0.0781,0.1109,6.1938,2.0696,2.85
12,Bourgogne-Franche-Comté,13,202103,2021-01-15,2077,2386.0,2996.0,891,847.0,1300.0,3263,3925.0,4692.0,72,83.0,104.0,31,30.0,45.0,113,136.0,163.0,,,,,,,6.3668,7.165,3.0431,16.3398,17.7859,10.7685,26.0949,28.7578,15.4228,38.6655,23.9324,35.8714,12.0219,18.5146,12.4141,10.454,15.9422,10.625,1.9907,1.9472,2.2267,102286.61,101670.0,101228.13,221.25,162.32,288.13,3.69,3.01,4.46,274.8625,273.5768,274.4063,88.6786,83.5893,79.5625,99456.4286,98843.3929,98421.25,0.0982,0.0036,0.0188,1.7125,0.4268,1.2563
13,Provence-Alpes-Côte d'Azur,1,202104,2021-01-22,9109,6049.0,5503.0,5645,3153.0,2841.0,12573,8945.0,8165.0,178,118.0,107.0,110,62.0,55.0,246,174.0,159.0,1.256,1.5941,2.0337,0.358,0.3895,0.6315,12.3278,13.0644,18.4382,21.4338,20.6274,24.1096,40.3694,40.6926,52.4138,54.2405,44.3517,34.0931,17.6119,17.9826,20.3504,9.5751,12.795,16.3312,1.9927,2.414,2.284,101094.91,101744.46,101123.57,209.11,231.24,202.41,4.84,5.59,4.3,279.6369,277.2095,275.5565,72.4821,70.4464,68.3512,97485.6548,98113.3929,97461.5476,0.1565,0.0,0.0244,6.4869,4.0595,2.4065
14,Île-de-France,2,202104,2021-01-22,18757,13522.0,10895.0,12952,9368.0,6939.0,24562,17676.0,14851.0,152,110.0,88.0,105,76.0,56.0,199,144.0,120.0,,,,0.3764,0.4394,0.4617,18.2484,23.8109,29.3736,29.6686,32.6228,33.7969,57.7166,69.2218,78.9549,49.2457,35.2102,12.126,15.3788,19.6603,28.0283,8.2521,14.6566,22.3513,1.1344,1.114,1.383,100442.86,102236.55,101853.21,212.68,232.36,132.86,4.75,4.31,3.16,278.5643,277.5991,275.1375,83.2679,87.5455,87.3214,99344.6429,101115.4545,100725.8929,0.1464,0.063,0.0143,5.4143,4.4491,1.9875
15,Centre-Val de Loire,3,202104,2021-01-22,4052,2333.0,2158.0,2541,1221.0,1214.0,5563,3445.0,3102.0,154,89.0,82.0,97,47.0,46.0,211,131.0,118.0,,,,0.2953,0.2896,0.3517,7.5294,8.8666,12.6996,13.1643,15.1976,19.441,24.5574,28.6156,38.7658,56.5099,45.5078,18.7374,10.8727,13.54,23.0995,7.126,10.8127,20.4465,,,,100655.63,102459.91,101786.43,203.39,252.59,159.91,4.42,3.84,2.36,278.7223,277.8205,274.1464,83.5268,89.2054,89.9732,98964.0179,100732.2321,100046.4286,0.2571,0.0857,0.0054,5.5723,4.6705,0.9964
16,Bretagne,4,202104,2021-01-22,3066,2560.0,2368.0,1607,1346.0,1176.0,4525,3774.0,3560.0,90,75.0,69.0,47,40.0,34.0,133,110.0,104.0,,,,,,,5.915,9.2824,16.7672,14.8545,17.029,22.3772,24.5601,31.8228,49.0072,58.0211,51.9078,22.415,15.155,14.452,21.2877,8.703,9.3156,19.6694,,,,100274.24,102571.52,101950.04,221.16,259.38,129.42,6.37,5.25,3.53,280.6688,281.4317,276.2036,84.8304,84.9598,85.0357,99560.1786,101843.5268,101212.5,0.2106,0.0238,0.0449,7.5188,8.2817,3.0536
17,Occitanie,5,202104,2021-01-22,6747,5927.0,5139.0,4516,3972.0,3279.0,8978,7882.0,6999.0,112,99.0,86.0,75,66.0,55.0,149,132.0,117.0,,,,,,,14.3943,8.6035,19.8155,20.8171,17.1559,24.76,41.8747,29.3219,54.5324,52.9897,48.4938,31.7306,17.367,14.6421,25.2815,10.6905,10.1921,18.8847,0.5274,0.4993,0.0633,101125.66,102653.11,101468.09,190.15,250.51,176.02,3.91,4.6,2.3,279.9469,277.874,273.474,76.6735,77.2526,78.8546,97789.0306,99228.1378,98037.398,0.1143,0.0308,0.0353,6.7969,4.724,0.324
18,Hauts-de-France,6,202104,2021-01-22,3912,3845.0,2972.0,2144,2269.0,1475.0,5680,5421.0,4469.0,64,63.0,49.0,35,37.0,24.0,93,89.0,74.0,0.3623,0.9851,1.3636,0.1478,0.3059,0.3075,3.8328,8.1517,10.5182,14.1989,21.7386,21.7898,20.0681,34.2317,37.9128,51.0196,32.4024,15.7228,11.5703,16.6794,19.7551,6.7908,13.7157,17.8316,1.5151,1.9708,2.0996,100120.09,102055.89,101924.82,207.32,205.18,141.88,4.6,4.22,2.51,278.0089,276.7946,274.4786,88.0268,92.0536,92.4732,99393.6607,101312.4107,101174.8214,0.1098,0.375,0.0054,4.8589,3.6446,1.3286
19,Corse,7,202104,2021-01-22,111,127.0,197.0,11,14.0,66.0,211,240.0,328.0,32,37.0,57.0,3,4.0,19.0,61,70.0,95.0,,,,0.5778,0.6128,0.6286,5.4753,6.4311,6.821,11.063,12.5697,12.8849,19.3668,22.3059,23.1805,56.5131,46.2238,47.6159,14.9722,13.9604,9.8413,6.5585,6.6491,4.2537,1.4675,1.538,1.3149,101265.27,101524.29,101048.13,178.21,134.73,160.27,4.07,2.62,2.64,283.033,281.1652,280.2616,73.7589,76.8304,78.9821,101137.3214,101394.8214,100918.5714,0.1143,0.0438,0.1652,9.883,8.0152,7.1116
